# Mouse<->human orthologs derived from MGI HOM_MouseHumanSequence.rpt
# Source: https://www.informatics.jax.org/downloads/reports/HOM_MouseHumanSequence.rpt
# Downloaded 2026-07-31. Regenerate with scripts/build_orthologs.py
mouse_symbol	human_symbol	relationship
0610030E20Rik	C2orf68	1:1
1110002E22Rik	C4orf54	1:1
1110004F10Rik	C11orf58	1:1
1110032F04Rik	C3orf80	1:1
1110038F14Rik	C8orf33	1:1
1110059E24Rik	C9orf85	1:1
1110059G10Rik	KIAA1143	1:1
1110065P20Rik	C1orf122	1:1
1500009L16Rik	C12orf75	1:1
1600012H06Rik	C6orf120	1:1
1600014C10Rik	C19orf12	1:1
1700001O22Rik	C9orf50	1:1
1700003E16Rik	C2orf81	1:1
1700003F12Rik	C20orf144	1:1
1700008O03Rik	C19orf81	1:1
1700009N14Rik	RAN	1:1
1700010I14Rik	C6orf118	1:1
1700011L22Rik	C4orf51	1:1
1700012B09Rik	C11orf97	1:1
1700013H16Rik	SYCP3	1:1
1700016H13Rik	C4orf36	1:1
1700018B08Rik	C16orf95	1:1
1700020A23Rik	C20orf141	1:1
1700020L24Rik	PGBDF	1:1
1700024G13Rik	C10orf53	1:1
1700025G04Rik	C1orf21	1:1
1700028K03Rik	C1orf146	1:1
1700029H14Rik	C13orf46	1:1
1700030J22Rik	C16orf46	1:1
1700030K09Rik	C19orf44	1:1
1700031M16Rik	C12orf54	1:1
1700034E13Rik	ZNF475	1:1
1700034J05Rik	C12orf71	1:1
1700037C18Rik	C16orf90	1:1
1700066M21Rik	C2orf69	1:1
1700067K01Rik	C19orf67	1:1
1700088E04Rik	C22orf23	1:1
1700093K21Rik	C2orf74	1:1
1700102P08Rik	C3orf62	1:1
1700113H08Rik	C12orf42	1:1
1700123O20Rik	C14orf119	1:1
1810009A15Rik	C11orf98	1:1
1810010H24Rik	C17orf58	1:1
1810030O07Rik	CXorf38	1:1
1810055G02Rik	C11orf24	1:1
2010003K11Rik	C11orf86	1:1
2010315B03Rik	ZNF670	1:1
2200002D01Rik	C19orf33	1:1
2210016L21Rik	C12orf43	1:1
2210017I01Rik	LCE7A	1:1
2210408I21Rik	KIAA0825	1:1
2300002M23Rik	C6orf15	1:1
2300009A05Rik	C15orf61	1:1
2310009B15Rik	C1orf53	1:1
2310011J03Rik	C19orf25	1:1
2310022A10Rik	C19orf47	1:1
2310022B05Rik	C1orf198	1:1
2310030G06Rik	C11orf52	1:1
2310033P09Rik	C1orf35	1:1
2310057J18Rik	C6orf58	1:1
2310057M21Rik	C10orf88	1:1
2310061I04Rik	C6orf136	1:1
2410002F23Rik	C19orf48P	1:1
2410004B18Rik	C1orf52	1:1
2510002D24Rik	C22orf39	1:1
2510009E07Rik	C3orf70	1:1
2510039O18Rik	KIAA2013	1:1
2610028H24Rik	C21orf58	1:1
2610035D17Rik	LINC00673	1:1
2610528J11Rik	C1orf210	1:1
2700049A03Rik	KIAA0586	1:1
2810459M11Rik	C2orf72	1:1
2900026A02Rik	KIAA1671	1:1
2900092C05Rik	C19orf18	1:1
3110009E18Rik	C2orf76	1:1
3110040N11Rik	C15orf40	1:1
3425401B19Rik	C10orf71	1:1
3830403N18Rik	SYCP3	1:1
4833420G17Rik	C5orf34	1:1
4833439L19Rik	KIAA1191	1:1
4921504E06Rik	C10orf67	1:1
4921517D22Rik	C9orf153	1:1
4921524J17Rik	C16orf87	1:1
4921536K21Rik	C5orf52	1:1
4921539E11Rik	C1orf141	1:1
4930407I10Rik	C22orf46P	1:1
4930433I11Rik	C2orf78	1:1
4930444P10Rik	C8orf89	1:1
4930447C04Rik	C14orf39	1:1
4930453N24Rik	C3orf38	1:1
4930469K13Rik	C5orf58	1:1
4930481B07Rik	ZNF687-AS1	1:1
4930503L19Rik	C18orf54	1:1
4930522H14Rik	C1orf185	1:1
4930523C07Rik	KIAA0040	1:1
4930524B15Rik	C5orf47	1:1
4930544D05Rik	C17orf107	1:1
4930550C14Rik	C11orf65	1:1
4930558K02Rik	C1orf105	1:1
4930562C15Rik	C16orf96	1:1
4930563E22Rik	C17orf100	1:1
4930578I06Rik	C8orf74	1:1
4930579F01Rik	C4orf17	1:1
4930579G24Rik	C4orf46	1:1
4930590J08Rik	FAM194C	1:1
4931414P19Rik	C14orf93	1:1
4933402J07Rik	C16orf78	1:1
4933402N03Rik	C10orf120	1:1
4933405L10Rik	C16orf86	1:1
4933411K16Rik	C10orf62	1:1
4933412E24Rik	CXorf49	many
4933412E24Rik	CXorf49B	many
4933424G06Rik	C2orf92	1:1
4933427D14Rik	KIAA0753	1:1
4933430I17Rik	C9orf43	1:1
5031439G07Rik	KIAA0930	1:1
5033430I15Rik	ATXN1-AS1	1:1
5430416N02Rik	THAP9-AS1	1:1
5730409E04Rik	C1orf216	1:1
5730455P16Rik	C17orf75	1:1
5730507C01Rik	ZNF670	1:1
6030458C11Rik	C5orf22	1:1
6030468B19Rik	C17orf99	1:1
6430548M08Rik	KIAA0513	1:1
6430550D23Rik	C20orf173	1:1
6430571L13Rik	C3orf18	1:1
6820408C15Rik	C20orf96	1:1
8030474K03Rik	CXorf49	many
8030474K03Rik	CXorf49B	many
9030622O22Rik	LINC00261	1:1
9130008F23Rik	C6orf141	1:1
9130401M01Rik	C8orf76	many
9130401M01Rik	ZHX1-C8orf76	many
9330117O12Rik	LINC01170	1:1
9330159F19Rik	KIAA0408	1:1
9430015G10Rik	C1orf159	1:1
9430038I01Rik	C10orf143	1:1
9530026P05Rik	ADAMTS9-AS2	1:1
9530068E07Rik	C5orf15	1:1
9930012K11Rik	C8orf58	1:1
A030003K21Rik	SCYGR1	many
A030003K21Rik	SCYGR2	many
A030003K21Rik	SCYGR3	many
A030003K21Rik	SCYGR4	many
A030003K21Rik	SCYGR6	many
A030003K21Rik	SCYGR7	many
A030003K21Rik	SCYGR8	many
A030003K21Rik	SCYGR9	many
A030005K14Rik	SCYGR1	many
A030005K14Rik	SCYGR2	many
A030005K14Rik	SCYGR3	many
A030005K14Rik	SCYGR4	many
A030005K14Rik	SCYGR6	many
A030005K14Rik	SCYGR7	many
A030005K14Rik	SCYGR8	many
A030005K14Rik	SCYGR9	many
A030005L19Rik	SCYGR1	many
A030005L19Rik	SCYGR2	many
A030005L19Rik	SCYGR3	many
A030005L19Rik	SCYGR4	many
A030005L19Rik	SCYGR6	many
A030005L19Rik	SCYGR7	many
A030005L19Rik	SCYGR8	many
A030005L19Rik	SCYGR9	many
A030014E15Rik	SCYGR1	many
A030014E15Rik	SCYGR2	many
A030014E15Rik	SCYGR3	many
A030014E15Rik	SCYGR4	many
A030014E15Rik	SCYGR6	many
A030014E15Rik	SCYGR7	many
A030014E15Rik	SCYGR8	many
A030014E15Rik	SCYGR9	many
A130010J15Rik	C1orf74	1:1
A1bg	A1BG	1:1
A1cf	A1CF	1:1
A2m	A2M	1:1
A3galt2	A3GALT2	1:1
A430005L14Rik	C1orf174	1:1
A4galt	A4GALT	1:1
A4gnt	A4GNT	1:1
A530016L24Rik	C14orf180	1:1
A830018L16Rik	C8orf34	1:1
A930018P22Rik	C11orf91	1:1
AA986860	C1orf116	1:1
AAdacl4fm3	AADACL4	1:1
AB124611	C19orf38	1:1
AI182371	C5	1:1
AI429214	C8orf48	1:1
AI467606	C16orf54	1:1
AI480526	LINC01089	1:1
AI593442	C11orf87	1:1
AI597479	TSLIG2	1:1
AI606473	LHX8-AS1	1:1
AI661453	C6orf132	1:1
AI837181	C11orf68	1:1
AI987944	ZNF670	1:1
AK157302	ISCA1	1:1
AU021092	C16orf89	1:1
AU022252	C1orf50	1:1
AU040320	KIAA0319L	1:1
AW146154	ZNF136	many
AW146154	ZNF333	many
AW209491	C7orf25	1:1
AW551984	VWA5A	1:1
AW554918	KIAA1328	1:1
AY761185	DEFA1	many
AY761185	DEFA1B	many
AY761185	DEFA3	many
AY761185	DEFA4	many
AY761185	DEFA5	many
AY761185	DEFA6	many
Aaas	AAAS	1:1
Aacs	AACS	1:1
Aadac	AADAC	1:1
Aadacl2	AADACL2	1:1
Aadacl3	AADACL3	1:1
Aadacl4	AADACL4	1:1
Aadacl4fm1	AADACL4	1:1
Aadacl4fm2	AADACL4	1:1
Aadacl4fm4	AADACL4	1:1
Aadacl4fm5	AADACL4	1:1
Aadat	AADAT	1:1
Aagab	AAGAB	1:1
Aak1	AAK1	1:1
Aamdc	AAMDC	1:1
Aamp	AAMP	1:1
Aanat	AANAT	1:1
Aar2	AAR2	1:1
Aard	AARD	1:1
Aars1	AARS1	1:1
Aars2	AARS2	1:1
Aarsd1	AARSD1	many
Aarsd1	PTGES3L-AARSD1	many
Aasdh	AASDH	1:1
Aasdhppt	AASDHPPT	1:1
Aass	AASS	1:1
Aatf	AATF	1:1
Aatk	AATK	1:1
Abat	ABAT	1:1
Abca1	ABCA1	1:1
Abca12	ABCA12	1:1
Abca13	ABCA13	1:1
Abca15	ABCA15P	1:1
Abca17	ABCA17P	1:1
Abca2	ABCA2	1:1
Abca3	ABCA3	1:1
Abca4	ABCA4	1:1
Abca5	ABCA5	1:1
Abca6	ABCA6	1:1
Abca7	ABCA7	1:1
Abca8a	ABCA8	1:1
Abca8b	ABCA8	1:1
Abca9	ABCA9	1:1
Abcb10	ABCB10	1:1
Abcb11	ABCB11	1:1
Abcb1a	ABCB1	1:1
Abcb1b	ABCB1	1:1
Abcb4	ABCB4	1:1
Abcb5	ABCB5	1:1
Abcb6	ABCB6	1:1
Abcb7	ABCB7	1:1
Abcb8	ABCB8	1:1
Abcb9	ABCB9	1:1
Abcc1	ABCC1	1:1
Abcc10	ABCC10	1:1
Abcc12	ABCC12	1:1
Abcc2	ABCC2	1:1
Abcc3	ABCC3	1:1
Abcc4	ABCC4	1:1
Abcc5	ABCC5	1:1
Abcc6	ABCC6	1:1
Abcc8	ABCC8	1:1
Abcc9	ABCC9	1:1
Abcd1	ABCD1	1:1
Abcd2	ABCD2	1:1
Abcd3	ABCD3	1:1
Abcd4	ABCD4	1:1
Abce1	ABCE1	1:1
Abcf1	ABCF1	1:1
Abcf2	ABCF2	many
Abcf2	ABCF2-H2BK1	many
Abcf3	ABCF3	1:1
Abcg1	ABCG1	1:1
Abcg2	ABCG2	1:1
Abcg3	ABCG2	1:1
Abcg4	ABCG4	1:1
Abcg5	ABCG5	1:1
Abcg8	ABCG8	1:1
Abhd1	ABHD1	1:1
Abhd10	ABHD10	1:1
Abhd11	ABHD11	1:1
Abhd12	ABHD12	1:1
Abhd12b	ABHD12B	1:1
Abhd13	ABHD13	1:1
Abhd14a	ABHD14A	1:1
Abhd14b	ABHD14B	1:1
Abhd15	ABHD15	1:1
Abhd16a	ABHD16A	1:1
Abhd16b	ABHD16B	1:1
Abhd17a	ABHD17A	1:1
